業績年月份,公司別,rows,實收金額,除佣實收,實付金額,電台實付金額
,東吳,5,0.0,0.0,0.0,0.0
,聲活,3,170210.0,102126.0,102126.0,102126.0
,鉑霖,4,825000.0,741500.0,325000.0,325000.0
2024/01,瑞迪,375,11552850.3,10265318.997299999,4168938.66,4381745.0
2024/01,聲活,2,110476.0,110476.0,0.0,0.0
2024/02,東吳,1,39000.0,39000.0,19500.0,19500.0
2024/02,瑞迪,185,7312923.33,6499070.9692,2238134.0,1999339.0
2024/03,瑞迪,123,4661489.33,4271169.3493,1483307.0,1322354.0
2024/04,瑞迪,206,8601160.83,8076160.8533,3386798.0,3365156.0
2024/05,瑞迪,188,12591139.83,11020111.211,5224757.0,5015165.0
2024/06,瑞迪,164,7775680.33,6854179.4101,2512241.0,2487141.0
2024/07,瑞迪,171,6626254.33,6244320.6526,2001285.0,1760776.0
2024/07,聲活,2,128571.0,128571.0,60000.0,60000.0
2024/08,瑞迪,192,7586804.33,6948759.6011,2349474.0,2350309.0
2024/09,瑞迪,182,7598848.33,6831887.928499999,2372596.0,2362074.0
2024/10,瑞迪,158,6529821.33,5856407.0586,2274860.0,1987777.0
2024/11,瑞迪,139,5944693.33,5354019.0451,2185532.0,2087639.0
2024/12,瑞迪,112,5247141.0,4614926.718,1607181.0,1551928.0
2025/01,東吳,163,10762826.0,10526825.6156,4712220.0,4712220.0
2025/01,聲活,145,10666539.0,9796264.387,4125240.0,4125240.0
2025/01,鉑霖,50,1487152.0,1390334.7985,772871.0,772871.0
2025/02,東吳,63,2096732.0,2096732.0,974290.0,974290.0
2025/02,聲活,89,5470532.0,5416532.0038,2227967.0,2227967.0
2025/02,鉑霖,19,388143.0,388143.0,208607.0,208607.0
2025/03,東吳,107,7150891.0,7076611.0073,3118178.0,3061993.0
2025/03,聲活,145,5523293.0,5109973.0269,2662661.0,2507808.0
2025/03,鉑霖,20,618125.0,618125.0,272492.0,272492.0
2025/04,東吳,132,6627312.0,6627312.0,2878249.0,2877274.0
2025/04,瑞迪,1,0.0,0.0,0.0,0.0
2025/04,聲活,183,8269943.0,7766023.0361,3778349.0,3552249.0
2025/04,鉑霖,28,895138.0,895138.0,399330.0,399330.0
2025/05,東吳,144,7804600.0,7405971.6,3464195.3,3499465.3
2025/05,聲活,132,5510562.0,5212422.0149,2530882.0,2151261.0
2025/05,鉑霖,53,2191885.0,2185408.7919,1151758.0,1151758.0
2025/06,東吳,113,5056735.0,4874335.0122,1952887.0,1952887.0
